a0001,進擊的巨人第二季,當最外層的瑪利亞之牆被超大型巨踢後，大量巨人湧入城鎮，10歲的艾連親眼目睹母清被巨人一口咬碎，他發誓要消滅所有巨人。在發現艾倫是巨人後，第104期的調查兵團被迫接受調查，此時新的災難正悄悄地接近，像猿一樣覆蓋著大量毛皮的巨人的出現，究竟是敵？是友？
a0002,高校星歌劇第二季,追逐著憧憬的高中生，進入音樂藝能界的名門·綾薙學園的星谷悠太，雖然有著優秀的才能，卻因為各自的問題而陷入從音樂學科的候補生中落選的危險境地的夥伴們，以及完全是新人的星谷。這樣的五人受到了華櫻會的注意而開啟音樂物語。
a0003,烙印勇士第二季,故事舞台為以中世紀歐洲為藍本的「劍與魔法世界」，描繪身背長度超越自身大劍的劍士凱茲復仇之旅的黑暗幻想故事。
a0004,不起眼女主角培育法第二季,為了製作同人遊戲，安藝倫也說服同年級美術部的繪畫高手英梨梨，以及優等生學姐霞之丘詩羽和加藤惠共組同人遊戲社團，開始同人遊戲的製作。之後又與過去認識的學妹波島出海有了連絡，緊接著擅長音樂的表姐冰堂美智留也加入社團。
a0005,機動戰士鋼彈 雷霆宙域戰線,故事描述一心想要奪回故土聯邦軍「莫爾同胞團」的「伊歐‧弗雷明」少尉，與由戰中失去肢體的吉翁軍人所組成的實驗狙擊手部隊「活死人師團」的「達利爾‧羅倫茲」上士，各自懷著不同的目的與想法，爆發激烈的攻防戰……
a0006,我的英雄學院第二季,大部分的人類，在這個時代裡都擁有名為「個性」的力量，但有力量之人卻不一定都屬於正義的一方。一名天生沒有力量的少年——綠谷出久從小就憧憬一位頂尖英雄，而他的夢想就是成為偉大的英雄！
a0007,有頂天家族第二季,作品以京都為舞台，而世界中除了人類之外還有狸貓、天狗的存在。狸貓一族名門下鴨家，世代定居在京都，然而一家之主總一郎慘遭人類煮成火鍋，下鴨家自此家道中落，只剩老母和不中用的四兄弟撐持......
a0008,巴哈姆特之怒第二季,故事發生在一個人魔神三種種族混雜的神秘世界。過去，有著銀黑色翅膀的巴哈姆特為這個世界帶來瀕臨滅絕的危機。當時三個種族跨越隔閡通力合作，犧牲了無數的生命才把巴哈姆特封印...
a0009,怪物彈珠第二季,故事回到曾經居住過的神之原，但卻對當時的生活完全沒有記憶的主角─焰蓮。此時，蓮的手機突然自動下載了一個他從沒見過的遊戲《怪物彈珠》，而一連充滿刺激挑戰的戰鬥也就此展開！
a0010,境界之輪迴第三季,故事描述真宮櫻自從幼年時被墮魔死神帶離之後，獲得了能看見幽靈的能力。在學校裡櫻遇到了具有死神血統的同學六道輪迴，隨後真宮櫻和六道輪迴一起引導幽靈至輪迴之輪。
a0011,夏目友人帳第六季,高中生夏目有靈異體質，能看見別人所看不到的。當他得到祖母的遺物「友人帳」之後，不論白天或晚上，開始有各式各樣的妖怪，紛紛找上門。 夏目在得知事情原委之後，決心要將友人帳上的名字， 一一還給被祖母擊敗的妖怪......
a0012,從零開始的魔法書,故事描述有天，一位被輕蔑稱作墮獸人的半人半獸傭兵，在森林躲避追殺他的魔女時，偶然遇上了另一位魔女零。在自稱零的魔女給予傭兵變回人類這項條件下，這名每天都夢想能夠變成人類的墮獸人傭兵，便與魔女締結契約...
a0013,怪怪守護神,加賀見一也有著一條他一直視為寶貝的「櫻花腰帶」，那是他母親留給他的遺物。而在某日，忽然出現的「付喪神」桐葉進入了他的生活。在人類、付喪神、以及各式神明間，充滿著戰鬥及走光的故事就此展開。
a0014,SNACK WORLD,故事存在著以為了建設大規模娛樂設施的理由，而被迫要求撤離的村莊。但是，在回絕了其要求後，居然在一瞬間將村莊連同居民一起毀滅。失去一切的查普，跨越了悲傷，決定展開復仇之旅！
a0015,情色漫畫老師,高中生兼輕小說作家的和泉正宗有個家裡蹲的妹妹和泉紗霧。擔任正宗輕小說的插畫家的「情色漫畫老師」，是個能夠畫出非常棒的煽情圖的可靠夥伴。但是，正宗突然發現衝擊的事實──情色漫畫老師其實是我的妹妹!?
a0016,重啟咲良田,描述咲良田是一座看似平凡普通、安詳寧靜的城鎮，實際上城中半數居民都是擁有超能力並受到約束的「能力者」。就讀高中的淺井惠和春埼美空，正式官方嚴密控管的對象，因為淺井與春埼合作的「重啟」指令，能夠讓世界如同時光倒流般使一切重新來過……
a0017,青春歌舞伎,高一的來栖黑悟受祖父影響，熱愛歌舞伎。他想在校內演出歌舞伎，但學校沒有歌舞伎社團。「那就來創社吧！」 他懷著這般想法，剛入學就向導師提出創社的希望，招募同好之路一開始就處處碰壁，真有可能成功嗎.......
a0018,LOVE 米,減耕政策加上飲食的歐美化，飯桌的人氣已經被麵包取代……以榖立稻穗學園為舞台，將大米擬人化的 5 個男孩。他們通過被稱作收穫的 LIVE 而閃閃發光著，以此來再現大米的優點。這是一部有歡笑，有熱血的 Heartful 喜劇。
a0019,原子小金剛 The Beginnig,故事講述了在近未來日本遭遇了願意不明大災害，日本國土幾乎毀滅殆盡，在災害發生後的5年日本逐漸走向復興，而在日本的某所大學中年輕的天馬博士和茶水博士正在努力的研究機器人技術。
a0020,劍姬神聖譚,艾絲·華倫斯坦以最強聞名的女劍士今天也和同伴們一起，前往廣大的地下迷宮「地下城」。腐朽成灰的龍的殘骸，隱藏於暗處的異常事態 Irregular。在種種神秘的威脅來襲的深層域 50 階層，艾絲呼喚疾風，在迷宮的黑暗中刻下一閃！
