cv001,梶裕貴,日本新生代男性聲優，出道時間2004年，隸屬於VIMS；在ARTSVISION第17期免費新人培育選拔會合格，並加入事務所ARTSVISION。聲線偏中性，高音時既可以為熱血的少年配音，也可以為元氣的正太或調皮的少年配音，壓低聲音時也能夠出演反派；外型也很中性，常被誤認成女生。本人對此否定，表示「內在意外地很有男子氣概」。
cv002,石川由依,石川由依（1989年5月30日－[1]）是日本兵庫縣出身[1]的女童星、演員、聲優。身高161公分[1]，體重43公斤。隸屬於砂岡事務所。
cv003,井上麻里奈,井上麻里奈（1985年1月20日－），日本女性聲優、歌手，出生於東京都武藏野市，身高162公分，血型AB型。
cv004,花江夏樹,花江夏樹（1991年6月26日－）為日本男性聲優。隸屬於Across Entertainment。出生於日本神奈川縣[1]。血型為B型，身高172cm。於2016年8月27日宣布結婚的消息。
cv005,小野賢章,小野賢章（1989年10月5日－）是日本的演員、聲優、歌手[1]。福岡縣出生、東京都出身[1]。身高170cm[1]。體重52kg[2]。星座為天秤座。血型A型。
cv006,諏訪彩花,諏訪彩花（1988年5月27日－）是日本女性聲優，ARTSVISION所屬，愛知縣日進市出身[1]。血型A型。
cv007,細谷佳正,細谷佳正（1982年2月10日－）為日本男性聲優。曾屬Mausu Promotion旗下的聲優，2014年恢復為自由身。出生於日本廣島縣尾道市。血型為B型。
cv008,前野智昭,前野智昭（日語：まえの ともあき，1982年5月26日－）是日本男性聲優，出身於茨城縣 下妻市，身高177cm，血型A型。目前所屬事務所是ARTSVISION。粉絲暱稱是「まえぬ (maenu) 」和「ともくん」以及「昭ちやん」。
cv009,松岡禎丞,松岡禎丞（1986年9月17日－）是一名日本男性聲優，北海道出身，目前隸屬於I'm Enterprise事務所。
cv010,安野希世乃,安野希世乃（1989年7月9日－[2]）為日本女性聲優。隸屬於avex Planning & Development，宮城縣出身，從Avex Artist Academy設立的配音員、藝人科中結業[3]。舊藝名為目澤希世乃。
cv011,茅野愛衣(拉拉蒂娜),茅野愛衣（1987年9月13日－[1]）是日本的女性聲優，大澤事務所所屬[2]，東京都出身。身高153公分[1]，血型O型。
cv012,赤崎千夏,赤崎千夏（日語：赤﨑千夏，1987年8月10日－[1]）是日本女性聲優。隸屬於81 Produce。鹿兒島縣出身。
cv013,矢作紗友里,矢作紗友里（1986年9月22日－）是日本女性聲優，隸屬於I'm Enterprise經紀公司，東京都出身。
cv014,山下大輝,山下大輝（1989年9月7日－）是日本男性聲優，ARTSVISION所屬，靜岡縣出身。血型為A型。
cv015,三宅健太,三宅健太（1977年8月23日－），日本男性配音員。隸屬於81 Produce。出身於沖繩縣。身高181cm，體重71kg，血型A型。
cv016,諸星堇,諸星堇（日語：諸星 すみれ、本名同、1999年4月23日－），是女性藝人、聲優。神奈川縣出身[1]。隸屬於劇團向日葵，身高146公分[1]，體重31公斤。
cv017,梅原裕一郎,梅原 裕一郎（1991年3月8日－[1]）是日本的男性聲優。ARTSVISION所屬。靜岡縣出身。
cv018,井上剛,井上剛（1978年4月19日－[1]）是日本男性聲優，身高170公分、體重58公斤。所屬事務所為Sigma Seven（シグマ・セブン，Σ7）。
cv019,潘惠美,潘惠美（1989年6月3日－）是日本女性聲優、演員。東京都出身，身高155cm，Atomic Monkey所屬。母親為演員、聲優、西洋占星術師的潘惠子。祖父是台灣人。2012年3月畢業於日本大學藝術學部演劇學科。
cv020,吉野裕行,吉野裕行（日語：よしの ひろゆき，1974年2月6日－）是日本的男性聲優，現在隸屬於Sigma Seven事務所。千葉縣出身，血型為B型，身高163公分、體重49公斤。
cv021,澤城美雪,澤城美雪（日語：沢城さわしろみゆき，1985年6月2日－），日本長野縣出身的女性聲優。暱稱みゆきち，血型O型。屬於青二Production事務所。
cv022,石川界人,石川界人（1993年10月13日－），日本男性聲優。隸屬於Pro-Fit，出生於東京都。
cv023,釘宮理惠,釘宮理惠（1979年5月30日－），日本女性聲優。隸屬於I'm Enterprise經紀公司。大阪府出生，成長於熊本縣熊本市。身高159公分，血型B型。
cv024,小山剛志,小山剛志（1967年10月4日－），日本男性配音員、演員，出身於愛知縣，畢業於早稻田大學。曾隸屬GLove，今在Across Entertainment旗下。身高180cm。妻子為動畫歌手下川美娜。
cv025,花守由美里,花守由美里（1997年9月29日－[2]）是出身於神奈川縣的日本女性聲優，事務所為m&i。
cv026,三瓶 由布子,三瓶 由布子（1986年2月28日－）是日本的女性聲優。從2011年10月1日開始，AXL ONE所屬。1996年加入若草劇團，2007年退出。東京都出身。血型是B型。星座是雙魚座。
cv027,大空直美,大空直美（1989年2月4日－）為日本女性聲優。隸屬於青二Production，大阪府出身。身高153cm、血型為A型。立命館大學映像學部畢業[2]。青二塾大阪校第28期畢業[2]。
cv028,久保百合花,久保百合花[2]（1989年5月19日－）是日本的女性聲優、模特兒、歌手、藝人，2015年1月進入CLARE VOICE。奈良縣出身。舊藝名包含「楢原ゆりか」、「久保由利香」（亦為本名），於2015年9月在台灣的活動宣傳中正式以「久保百合花」作為官方中文譯名。
cv029,松井惠理子,松井惠理子（1989年3月8日－）是日本的女性聲優、歌手，IAM Agency所屬。愛知縣蒲郡市出身。身高160公分，血型為B型。2017年以專輯「にじようび。」歌手出道。
cv030,藤田茜,藤田茜（1993年1月26日－[1]）是日本的女性聲優，靜岡縣出身。賢Production所屬。
cv031,高橋未奈美,高橋未奈美（1990年12月20日－）[1]是一名日本女性聲優。身高161cm。隷屬於東京俳優生活協同組合。擅長英語、德語。興趣是韻律體操。[2]
cv032,大西沙織,大西沙織（1992年8月6日－）、日本女性聲優，千葉縣出身[1]，屬於I'm Enterprise事務所。
cv033,市川太一,"（2月4日－）為日本的男性配音員。出身於東京都。身高172cm。
 隸屬於VIMS，日本播音演技研究所出身。
 興趣為騎公路自行車、菓子製作、打籃球。
 高中時期收聽森久保祥太郎主持的廣播節目而決定以聲優為目標。"
cv034,河西健吾,"河西健吾（1985年2月18日－）是日本的男性聲優。出身於大阪府。隸屬於Mausu Promotion。血型A型。
 2005年從AMUSEMENT MEDIA綜合學院聲優學科畢業。
 2006年聲優正式出道。
 2015年10月《機動戰士鋼彈 鐵血的孤兒》的三日月·奧古斯一角為正式在動畫中演出主角的作品。"
cv035,甲斐田裕子,"甲斐田裕子（1980年1月14日－）是日本女性聲優、舞台劇演員，神奈川縣川崎市出生。血型為O型。
 由於和甲斐田幸（甲斐田ゆき）只差一個字，所以二人常會被弄錯。
 經常聽到周圍的人說：「甲斐田從來不聽別人說話」對此她的說法是「我只是需要時間思考怎麼回答。」
 曾經因為其氣勢而被井上喜久子和川澄綾子兩名比她年長的聲優稱為「前輩」。
 經常進行外國片配音並說「和動畫配音各有各的有趣之處」。
 與舞台演員平澤智之結婚並有一子。"
cv036,山本和臣,"山本 和臣（1988年1月3日－）是日本男性聲優。隸屬Production Ace。兵庫縣出身。血型是A型。身高160.3cm。
 音質較高。除了男角以外也能出色地扮演出女角、成熟女性的聲音。比如於超元氣3姊妹 增量中！就擔當了聲線相當低沉的小學男生千葉雄大；以及其角色母親千葉和實的成熟女聲。雖然兩個角色個性有相似之處，但山本也將母親的表現扮演得極為精采。
 山本與一般男性身材相較之下顯得嬌小、長相也秀氣，日常生活中總是被誤認為女性。
 曾在深夜騎著自行車時（因外貌童顏，看不出實齡）被規勸。
 某次與男性朋友三人一同在喝酒的聚會上，相當訝異自己並沒有點布丁但店員卻端至山本面前，後來才得知是特別招待給女性顧客的點心。
 和女性朋友同行時被三位不同的男性搭訕過。尤其向其中一名表示自己是男性時竟被當作玩笑話。
 打工時常常被誤認為女性。
 曾在麻雀大會上初次和白石稔碰面並被攪混性別，最後脫去上衣才得以證明自己的男性身份。"
cv037,逢坂良太,"逢坂良太（1986年8月2日－），日本男性配音員。出身於德島縣，目前隸屬於EARLY WING。
 興趣是散步和電玩，假日會花數個小時散步。
 有一個姐姐和一個弟弟。"
cv038,島崎信長,"島崎信長（1988年12月6日－），日本男性配音員。隸屬於青二Production。出身於宮城縣。
 瘦瘦高高的身形。
 中學的時候是軟式網球部部長和學生會會長，高中時期隸屬吹奏樂部，是樂隊的主唱。
 「信長」名字的由來不是因爲父母喜歡戰國武將，是曾祖母拜託命名師取名，然後才得到了這個名字。
 由於名字的關係，基本上沒有其他別稱。
 是家中的長男，有一個妹妹和一個弟弟。
 配音的聲線，有乾淨的男聲，及輕浮懶散（變態）的聲線，時常配役男友力微妙的男生。
 擅長料理，目前推特上的頭像是自己烤的蛋糕，曾經烤蛋糕送給分送給同事務所的夥伴。
 是聲優圈知名的LoveLive!教徒，推花陽，買了花陽的抱枕放在推特上，被杉田智和吐槽好像少了甚麼，信長回了：是少了白米吧！
 是聲優圈知名的課金魔人，把配F/GO的賺來的錢全部都花在抽牌上了，曾經說過此身為課金所成。
 （但最近被他推坑的聲優如中村悠一、植田佳奈、早見沙織等有超越他的「悲慘」趨勢，尤其是中村悠一。中村甚至課金課到瘋狂，但運氣差到在推特自稱「非洲大酋長」，結果反被島崎取笑。另一個被推坑的聲優前輩川澄綾子運氣比島崎和中村悠一來的好。）"
cv039,朝井彩加,"朝井彩加（1992年5月11日－）是日本女性演員、聲優，劇團青年座所屬，靜岡縣出身。身高160cm。血型A型。
 2015年，《新妹魔王的契約者》成瀨澪為初演女主角。"
cv040,內山夕實,"內山夕實（1987年10月30日－）是日本的女性聲優，出身於東京都。目前隸屬於大澤事務所。音域為女低音，擅長飾演少女或少年角色。
 最初成為配音演員契機是在中學時代，獲友人邀請加入放送劇部，初次體驗到朗讀戲劇後受到觸發。15歲入所日本播音演技研究所的初級班。在演技研究所的時候，接受楢橋美紀指導的課程。成為聲優的理由是中學時代進廣播劇部的時候提出的。
 興趣是歌唱，去卡拉OK時喜歡唱Carpenters的「I Need to Be in Love」。
 座右銘為「不要忘記感激之心」（感謝の気持ちを忘れない事）。
 偏好於友善且包容力強的異性類型，而且希望對方會是個願意做基本家務，和一起製作料理的人。"
cv041,井上雄貴,井上雄貴（1995年1月23日－）是日本的男性聲優。出身於神奈川縣。血型AB型。Mausu Promotion所屬。
cv042,中村悠一,"中村 悠一（1980年2月20日－）是日本的男性聲優、旁白。香川縣出身，身高175公分，血型為B型。隸屬事務所為Sigma Seven。
 愛稱是ゆうきゃん，由鈴村健一命名。英文標記法為『you-kyan』
 與聲優的杉田智和的私交良好，是在聲優界著名的好友。
 興趣是玩遊戲、看電影等。
 不喜歡吃拉麵。喜歡的食物是肉、奶酪、甜食。
 電腦知識豐富，機械方面也很擅長。非常喜歡遊戲，「特技是遊戲能玩上1天24小時」。過去曾參加過『Virtua Fighter』的全國大賽。現實生活中也有諸多格鬥技的經驗（極真空手、柔道、骨法等）。而且還是個鋼彈迷，在自己的Blog裏也多次介紹過。自稱和鋼彈同好邊戰鬥、互扔、把鋼彈弄壞是所謂的「王道的玩法」。對洋畫鑒賞也頗有興趣。
 非常喜歡音樂（本人自稱不擅長唱歌），學生時代參加過吹奏部。當時吹奏的樂器是小低音號。特別喜歡的音樂種類是Celt。2008年想開始些新的事情而購買了小提琴。
 基本上各種動物都喜歡。但動物中最喜歡的是貓，經常出現住所附近野貓的話題。據聲優朋友所說，他非常了解附近野貓的棲息地，而且不知道什麽原因，被他人養的家貓或是野貓喜歡著。
 在老家的時候，狗、貓以及鳥以外，還飼養了烏龜。現在也「好想養隻貓」，但自己說「還沒有做好對寵物會比自己死得更早的覺悟，所以不會去養」。
 愛用寶格麗的香水。喜歡選購帶有紅茶，或是綠茶等茶系味道的東西。根據安元洋貴的Blog，中村經常模仿安元頻繁地穿著他喜歡的品牌『roar』的衣服。（在雜誌和見面會等衆多場合來看，中村身著『roar』的衣服確實非常多）。
 喜歡女性的類型是「皮膚白嫩細致」。理由是因為覺得皮膚漂亮的人平常也是愛乾淨、過著規則、健康的生活。又，擇偶條件是「能夠喜歡我的人」。
 喝酒後會馬上睡著，所以滴酒不沾。聚餐時總是喝可樂。但因為在『Club AT-X（#131）』這個節目中被岸尾大輔爆料時，更正為「最近在喝薑汁清涼汽水」。
 對花粉和金屬過敏。由於嚴重暈車，在出遠門前一定會吃暈車藥。且有幽閉恐懼症，黑暗恐懼症，懼高症。其它不擅長的事情也多不勝數。
 較少接觸戀愛型遊戲，有接觸的話也都是被推薦才玩，如LOVEPLUS是被杉田智和推薦，純愛手札4則是由阪口大助推薦。
 喜愛FF11，而其Twitter上的帳號後也加上FF11。
 雖曾在FFXV中演出，但在實際玩過遊戲後卻做出了「我不能原諒做出FFXV第１３章的人」這樣的發言。
 被聲優好友島崎信長推薦FGO等遊戲，但是運氣奇差，連課金之後的轉蛋抽卡幾乎都拿到沒用的卡片。中村本人不信，再課金抽，但是結果一樣，因此從配音賺到的除了生活費和孝親費之外的錢幾乎都投入遊戲中，惡性循環下，導致幾乎不能在銀行存款，還曾經向其他聲優「乞討」吃剩的零嘴來果腹。「加害人」島崎還大肆嘲謔中村，中村甚至在個人的Tiwter的近況自稱是「非洲大酋長」。甚至因為玩遊戲成了尼特族，導致現在的朋友除了杉田、島崎、松岡禎丞、赤崎千夏、早見沙織、植田佳奈、茅野愛衣等人以外，就沒有可以親近且友好的聲優。"
cv043,寺島拓篤,"寺島拓篤（1983年12月20日－）是日本的男性聲優兼歌手。石川縣出身，血型為B型，身高166.9cm，星座 射手座，目前隸屬於AXL ONE事務所。
 有一個哥哥和一個弟弟。兄弟感情很好，從來沒有吵過架，弟弟曾經到他與羽多野涉共同主持的廣播節目2D LOVE中當特別來賓。
 中學時參加了劍道部（初段）、高中時是演劇部的。加入劍道部的契機是因為動漫『神劍闖江湖』。
 特技是早起。興趣是唱歌、插圖、改造衣服、天體觀測、撞球、飛鏢。
 非常喜歡Galgame跟公仔模型，收藏了非常多『K-ON！輕音部』與『SD鋼彈』等的相關模型。
 也喜歡收集能量石，契機是收到了齋賀光希送的能量石手鍊加上出演了以石頭為題材的動畫『Sacred Seven』之後就開始對能量石產生了興趣。
 另外還喜歡看高爾夫，但一竅不通。不過在和森久保祥太郎、梶裕貴一起主持的『ドーリィ☆バラエティ HYPER ViSUADOLL MOVIE』節目中實際體驗了高爾夫。
 喜歡貓但是對動物過敏（過敏檢查呈陽性反應，但本人沒感覺）。
 喜歡戴銀製飾品，但吃飯時會脫下。
 喜歡《哆啦A夢》和《守護甜心!》。 特別中意《守護甜心!》的女主角日奈森亞夢，喜歡到會在部落格放上自己畫的亞夢的插畫。
 追求女性的理想條件為左撇子（《CLUB AT-X》第143回）。
 與聲優杉田智和、市來光弘、鈴木達央、羽多野涉感情良好，被稱為杉田組。
 與梶裕貴、堀江一真、阿部敦共同組成了歌唱團體「G.Addict」。
 和岸尾大輔是一起玩MONSTER HUNTER的朋友。（《CLUB AT-X》第144回）
 在死後文的慶功宴上，因為長得和植田佳奈相像而成為話題。植田本人也同意。
 有懼高症。害怕尖叫、恐怖系的遊樂設施。曾在錄製『ドーリィ☆バラエティ HYPER ViSUADOLL MOVIE』節目時去富士急高原樂園玩了部分尖叫系遊樂設施後被嚇得臉色發青，一直要求中止錄影。"
cv044,木村珠莉,木村珠莉（6月7日－）是一名日本女性聲優，畢業於俳協Voice Actors Studio聲優養成所，現屬於東京俳優生活協同組合。
cv045,村川梨衣,"村川梨衣（1990年6月1日－[1]）是日本的女性聲優、歌手。東京俳優生活協同組合所屬。
 給同社的前輩佐藤利奈的第一印象為長相美麗可愛。不過當村川得意忘形地追問：「希望誰成為你現實中的妹妹？」時，佐藤卻果斷地選了佐倉綾音，原因是村川太好動活潑，似乎難以照料，而佐倉則乖巧可愛。自稱自己年齡是「永遠的12歲」。"
cv046,岡本信彥,"岡本信彥（1986年10月24日－）是日本男性聲優，東京都出身，Pro-Fit所屬，Pro-Fit聲優養成所的第3期學生，2009年大學畢業。2011年加入Lantis的Kiramune（音樂事務所）。2012年5月23日出了自己的第一張專輯《Palette》。
 非常喜歡玩電子遊戲，在家裏會同時開著掌上遊戲機、電視和電腦（電腦是用來找攻略）。
 神奇寶貝系列的忠實粉絲，努力到被稱為「神奇寶貝廢人」。2013年在『電撃Nintendo 12月號』得以與本系列製作人増田順一對談。
 極度喜愛甜食，例如馬卡龍和巧克力，尤其是雷神巧克力，導致他被其他人戲稱為「糖尿聲優」。經常整箱雷神巧克力買回家作儲糧，以前會一天之內吃十排，現在受到事務所禁令所限，一天只能吃一排。
 在Radio 4 Gamer裏面將甜酒拌白飯吃下，而喝了一口節目助手マフィア梶田極辣的湯之後，要喝回自己的甜酒來中和。另外他也多數覺得由聽衆寄來、為懲罰遊戲而作的創作菜食譜很好吃，被節目助手梶田說他味覺古怪。（順帶一堤，梶田自身非常嗜辣，能面不改容吃下毫無節制地加了辣椒醬的食物。）"
cv047,乃村健次,乃村健次（1970年7月23日－）是日本男性聲優，Aksent所屬。岡山縣出身。身高184cm，體重85kg。血型O型。
cv048,川澄綾子,"川澄綾子（1976年3月30日－），日本女性聲優。生於東京，亦有兼任歌唱工作。血型B型，身高158cm。
 從3歲起學習鋼琴，擁有絕對音感[4]；但因認為平時彈鋼琴沒有甚麼意義，幾乎只在為まるなび！？HOT TUNE作曲時才會接觸鋼琴[5]。
 興趣是看棒球比賽，為東京養樂多燕子的球迷。特別是經常將代跑城友博（1999年移籍至阪神虎）的成績整理在筆記本裡。
 於PONY CANYON STYLE まるなび！？的第139回（2007年5月22日）中提及自己取得了汽車駕駛執照[6]。
 非常喜愛貓，東京父母的家中養有數隻。
 得意料理是千層麵、綾子鍋（生天目仁美命名），其中綾子鍋在棉花糖會（ましまろ会）中大受好評。
 相當害怕昆蟲。據說家族旅行時，要去露天溫泉的途中看到蟲，而發出哀嚎嚇到母親。另外，與能登麻美子一起去旅行的時候，也曾因見到蟲而嚇得從露天溫泉裡逃出來。
 自認非常喜歡說話，是個健談的女孩子。
 據說即使長時間乘坐電車，也不會在裡頭睡著。
 關於配音，曾提到：「現在想起來，第一次的拍後錄音是最緊張的時候。因為緊張，有的時候甚至會說不出話來（笑）。現在總算是已經適應了這種氣氛了，而且使我興奮的是最近挑戰的幾個全新的角色，也許大家從中能夠看到另外一個我呢。能夠出演這樣一些角色我自己也非常高興，我希望在30歲、不，40歲以後大家還是象現在一樣喜歡我塑造的角色。"
cv049,田村睦心,田村 睦心（1987年6月19日－）是日本女性聲優。隸屬I'm Enterprise。東京都出身。
cv050,青山吉能,"青山吉能（1996年5月15日[1]－）是日本的女性聲優，81 Produce、GREEN LEAVES所屬。熊本縣出身，血型為A型。
 中學一年級的青山吉能認為自己的長處只有聲音，為了發揮自己的聲音而努力參加了不少甄選會。東日本大震災發生後，身在熊本縣的青山吉能由於想要為東北地方出一份力，因而決定參加Wake Up, Girls!的甄選會。
 特殊專長有合唱、書法、滑雪。關於滑雪方面，青山吉能曾參加國體冬季大會的大回轉項目。
 容易沉迷於遊戲，甚至在遊玩白貓Project的過程中度過正月以及迎接自己的生日。
 與身為Wake Up, Girls!前輩的i☆Ris成員之一的澀谷梓希交情深厚，青山吉能在2015年的生日收到澀谷梓希贈送的洋裝並接到她打來的電話。"
cv051,沼倉愛美,"沼倉愛美（1988年4月15日－）是日本的女性聲優，ARTSVISION所屬。神奈川縣出身。身高161.5公分。血型為AB型。
 因《機動戰士鋼彈 SEED》而成為鋼彈系列作品的動漫迷，也喜歡《攻殼機動隊》與《銀河英雄傳說》。興趣是編織，並將喜歡的小熊布娃娃取名為「萊因哈特」，沼倉曾在2010年的生日於個人部落格公開該娃娃的樣子。
 喜歡的食物是桃子及哈密瓜，曾經在自家種植草莓。"
cv052,長野佑紀,長野佑紀（1997年6月27日－）是日本的女性聲優，EARLY WING所屬。廣島縣出身。身高148公分。血型為B型。
cv053,原由實,原由實（1985年1月21日－），日本女性配音員，隸屬於ARTSVISION，出身於大阪府。
cv054,植田佳奈,"植田佳奈（1980年6月9日－），日本女性聲優，出生於奈良縣生駒市，於大阪府東大阪市長大。現在是I'm Enterprise旗下的聲優。
 童年時在大阪府東大阪市渡過。
 極愛玩網路遊戲，和綠川光一樣被稱為「網路遊戲廢人」。
 另一興趣是麻將，號稱「植田雀莊莊主」。
 因在關西出生，故經常為「關西腔」角色配音。
 曾與聲優中原麻衣、斎藤千和及森永理科結成組合「Mix JUICE」（みっくすJUICE）
 與同屬同一事務所的森永理科和伊月唯關係良好。（兩者現在均已退社）
 由於替多個雙馬尾的角色配音，因此被部分粉絲稱為雙馬尾聲優。"
cv055,田所梓,"田所梓（日語：田所あずさ，1993年11月10日－），出身於日本茨城縣，日本女性配音員。屬於Horipro。
 茨城縣出身，身高158公分，家中有四個哥哥，為五人兄妹中的么妹。[2]
 2011年10月10日，從Horipro舉辦的「ホリプロタレントスカウトキャラバン」聲優選拔試鏡會中得到第一名，獲得聲優與歌手出道機會，其後加入Horipro事務所，所屬唱片公司為Lantis，2014年以專輯Beyond Myself!歌手出道。
 2012年，エスエスケイフーズ株式會社宣傳用的動畫——『サラダの國のサラ』的サラ演出、配音員和各項活動的本格開始。
 據個人官網資料記載，興趣是裁縫、製作相簿、卡拉OK、模仿，特技是網球、腕力比試、健身。血型AB型。
 小時候觀賞《犬夜叉》的電視動畫產生想從事聲優的興趣，以及被劇中角色琥珀的配音員矢島晶子的演技所吸引，以飾演少年的角色和把前輩矢島作為目標。"
cv056,Machico,"Machico（1992年3月25日－）是日本的女性歌手及聲優，Horipro所屬。
 本名齊藤 真知子（さいとう まちこ），廣島縣吳市出身。"
cv057,上原明里,上原明里（9月13日－）為日本女性聲優。隸屬Quatre Stella，日本東京都出身。
cv058,水瀨祈,"水瀨祈（水瀬 いのり，1995年12月2日－）是日本一名女性演員、聲優和歌手，Sony Music Artists所屬。東京都出身。
 小時候對於《美少女戰士》的水手金星、《名偵探柯南》的毛利蘭有所憧憬，從母親那裡得知聲優的存在後決定以成為聲優為目標，並因為受毛利蘭影響而開始學空手道[3]。
 國中三年級在《世紀末超自然學院》所配的岡本燈一角為出道作。
 小時候就很喜歡迪士尼的作品。一年會去100次東京迪士尼樂園，曾說過理想男性為米老鼠。
 興趣為動畫、遊戲、NICONICO動畫、上網；特技是在卡拉OK中用動畫歌曲唱出二重唱、俄羅斯方塊。
 她是水樹奈奈的粉絲，並於2015年加入水樹所屬的唱片公司King Records。
 2016年，獲得第10回聲優獎的主演女優賞和第25回日本電影影評人大獎新人聲優獎。
 2016年11月19日，因受到來自台灣的死亡威脅，出於安全考慮，水瀨祈取消了年內在台灣和日本的活動。隨後台灣警方找到了涉嫌發布恐嚇信息的19歲楊姓少年。據楊某稱，因為到水瀨祈的粉絲專頁留言都未獲回應，所以想以這樣的方式來引起注意。楊某的父母表示，楊某有輕度精神障礙。全案訊後依恐嚇罪函送偵辦。"
cv059,荒浪和沙,"荒浪 和沙（1988年4月18日－），日本女性聲優。千葉縣出身。隸屬Quatre Stella。身高160cm。B：85cm、W：60cm、H：85cm
 喜歡跟動物玩
 本人誇口說道：「能喝一升日本酒」，相當的酒豪，配音工作時經常不穿胸罩，理由是不穿胸罩有利於發出更廣域的聲音。"
cv060,,
