c0001,WIT STUDIO,前身是Production I.G 6課製作組，曾製作《罪惡王冠》等話題作品；2012年出於調動員工積極性、提升業績，6課的工作人員和田丈嗣和中武哲也建立WIT STUDIO，期初和Production I.G在同一地址辦公，後逐漸搬遷至現所在地，目前是IG Port的子公司之一。為擴大吸引力和知名度，於2013年7月製作了年度話題作《進擊的巨人》，以51190的碟片累平銷量成為年度霸權。
c0002,SUNRISE,1972年由蟲製作公司獨立出來的職員以“SUNRISE工作室＂的名義開始創業；同年與東北新社合資創立“創映社”，直到1976年，才正式以“SUNRISE＂名義寄身於日本動漫界，第一套作品《無敵超人聖彼得3》；SUNRISE是親自參與動畫製作的日本企業之一，位於東京杉並區，目前隸屬於BANDAI旗下。
c0003,Production IMS,原屬AIC Spirits的製片人松嵜義之帶領一眾動畫師離開公司，設立Production IMS。當時AIC一直傳出長期積弱和欠債纍纍的消息，而角川書店容許接收該公司原定的新作企劃，包括《天降之物 永遠的我的鳥籠》和《約會大作戰Ⅱ》等。開業不久即接下《蟲奉行》和《Fantasista Doll》等作品做過其他公司的協力。公司則自行製作《狐仙的戀愛入門》。
c0004,雲雀工作室,原屬東映動畫的光延博愛與光延幸子夫婦創立雲雀工作室，專門為動畫上色。之後工作室首次從土田製作公司接下おじゃまんが山田くん的單集統包工作，開始參與完整動畫製作及企劃之工作。社名是「期望當人聽見小鳥美麗地歌唱的時候，會從雲雀的名字而得知工作室的存在和意義」。
c0006,新鋭動畫,前身是新A製製作公司，也是曾身為東映動畫動畫師的楠部大吉郎的一次商業冒險，而公司商標吉祥物由與楠部同期一樣東映動畫出身的動畫師大塚康生設計創社之後由大塚康生、高畑勲、宮崎駿、吉田茂承、小田部羊一等人定期培育採用新人。
c0007,Dong Woo Animation,它已經成為Studio Gallop的首要工作租用工作室。它直接與Sony Columbia TriStar（美國）直接合作，2002年以來一直是華納兄弟動畫製作海外動畫的主要來源。之後公司更名為東吳動畫公司 BASToF檸檬，該公司的第一個原始動畫系列，於2001年開始播出。 有在Dongwoo開設洛杉磯辦事處。 也在開設江山辦事處，有製作過忍者神龜。
c0008,東映動畫,是隸屬日本東映集團的老牌動畫製作公司，亦是日本歷史最悠久的動畫製作公司。第一套劇場動畫為《白蛇傳》，而第一套電視動畫為《狼少年Ken》。很多著名的動畫師，例如宮崎駿、高畑勳、芝山努、大塚康生等人都曾在此就職。註冊資本略高於戰前成立的東寶株式會社
c0009,P.A.WORKS,BEE TRAIN的公司代表兼製作人堀川憲司於富山縣東礪波郡城端町成立越中動畫本鋪株式會社。之後公司正式更名為P.A. Works，並緊接把工作室搬至現址。成立的緣由在於堀川需要按家族的約定回歸當地，並有見本土未有任何成熟的動畫工作室，於是決定創業。設立初期曾一度因資金有限而要借用已荒廢的醫院作改建，及借用有線電視的網絡去處理各項行政工作。公司首次獨立製作《真實之淚 true tears》
c0010,A-1 Pictures,於2005年5月，因日本索尼音樂的旗下企業Aniplex希望更有效發展動畫製作業務，而決意成立一間穩定和高品質的公司，位於東京都杉並區；在2006年與另一家動畫公司Noside共同製作的動畫後，便立即投入獨立製作，獨立製作的第一部電視動畫《王牌投手 振臂高揮》，目前是Aniplex的子公司。
c0011,MAPPA,由時年70歲從MADHOUSE退職的前社長與共同創社人丸山正雄另在東京都杉並區起業創立。 社長由和丸山一起創立MAPPA的大塚學接任，而丸山轉任會長。同時丸山兼任同時期「M2工作室」社長。而後電影動畫《這個世界的角落》從同時期上映的《你的名字》《聲之形》等作品脫穎而出，入圍第40回日本電影金像獎最優秀作品獎。
c0012,Brain's Base,原為東京電影新社製作人的小澤十光，於辭職後創辦了本工作室。透過跟漫畫家永井豪密切的關係，初期改篇了多部作品發行OVA，第一部為《真蓋特機器人 世界最後之日》製作了電影作品《風を見た少年〜The Boy Who Saw The Wind》。直至2002年，才正式加入較多觀眾注意的日本電視動畫製作行列，首部作品為《爆鬥宣言》。
c0014,ZERO-G,ZERO-G是一家動畫企劃與製作以及相關業務為主的日本公司。由導演根岸弘成立。並取得RADIX MOBANIMATION動畫作品的相關所有版權。 ZERO-G名稱繼承自根岸弘創立的動畫公司ZERO-G-ROOM，而ZERO-G-ROOM在90年代以來經過一系列公司重組合併為RADIX ACE ENTERTAINMENT。之後被母公司Wedge Holdings吸收合併後設立RADIX MOBANIMATION。而後取得RADIX MOBANIMATION相關動畫作品的所有版權。
c0015,OLM,是日本的一家動畫製作公司，日本動畫協會正會員。代表作有宇宙小毛球、閃電十一人等。
c0016,david production,是日本一家以執行動畫的企畫和製作為主要事業內容的動畫製作工作室。由GDH的製作人沖浦泰斗和代表取締役社長梶田浩司等人，在東京都西東京市正式創立。之後的電視動畫《天堂餐館》是首部獨立製作作品。之後宣布製作《JoJo的奇妙冒險》系列原作第一部和第二部，並於10月的深夜時段新番上映。
c0017,Millepensee,由早年進入GAINAX從《飛越巔峰2》開始擔任製作並協助SHAFT動畫製作出身的白石直子，於2013年在東京都練馬區創立工作室。
c0018,Encourage Films,此公司由曾任GONZO製作人的池田東陽與動畫導演追崎史敏於2008年設立，第一部總承包作品為2009年的網路動畫《ONTAMA!》。除製作動畫外，ENCOURAGE FILMS亦舉辦《萬花筒之星》的相關活動，該動畫的製作人為池田東陽。之後池田東陽逝世，由追崎史敏接任代表董事
